source_error	https://www.dcceew.gov.au/rss-feed	https://www.dcceew.gov.au/rss-feed	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.aemo.com.au/newsroom	https://www.aemo.com.au/newsroom	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom
source_error	https://www.aemo.com.au/newsroom/media-release	https://www.aemo.com.au/newsroom/media-release	403 Client Error: Forbidden for url: https://www.aemo.com.au/newsroom/media-release
source_error	https://www.aer.gov.au/news	https://www.aer.gov.au/news	HTTPSConnectionPool(host='www.aer.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.infrastructureaustralia.gov.au/news-media	https://www.infrastructureaustralia.gov.au/news-media	HTTPSConnectionPool(host='www.infrastructureaustralia.gov.au', port=443): Read timed out. (read timeout=25.0)
source_error	https://www.iea.org/news	https://www.iea.org/news	403 Client Error: Forbidden for url: https://www.iea.org/news
source_error	https://www.irena.org/news	https://www.irena.org/news	403 Client Error: Forbidden for url: https://www.irena.org/news
source_error	https://www.irena.org/Newsroom/Articles	https://www.irena.org/Newsroom/Articles	403 Client Error: Forbidden for url: https://www.irena.org/Newsroom/Articles
source_error	https://www.dcceew.gov.au/energy/news	https://www.dcceew.gov.au/energy/news	HTTPSConnectionPool(host='www.dcceew.gov.au', port=443): Read timed out. (read timeout=25.0)
low_substance	score=-1 min=2	https://www.aemc.gov.au/news-centre/media-releases
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/greenbot-discontinues-federal-court-challenge-to-clean-energy-regulator-decision
out_of_range		https://www.cer.gov.au/news-and-media/news?page=5
out_of_range		https://www.cer.gov.au/news-and-media/news?page=4#main-content
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/june/clean-energy-regulator-takes-compliance-action-against-sres-participants
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/may/accu-scheme-transparency-changes-now-progress
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/may/solar-batteries-to-be-eligible-under-small-scale-renewable-energy-scheme
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/may/consultation-outcomes-carbon-market-infrastructure-holding-and-trading-certificates-and-units
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/may/solar-installer-convicted-false-claims
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/april/compliance-update-january-to-march-2025
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/april/q1-2025-qcmr-data-workbook-available-now
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/april/clean-energy-regulator-accepts-enforceable-undertaking-fitzroy
out_of_range		https://www.cer.gov.au/news-and-media/news/2025/april/explore-2023-24-safeguard-mechanism-data
out_of_range		https://www.cer.gov.au/news-and-media/news?page=6
out_of_range		https://arena.gov.au/news/#main
out_of_range		https://arena.gov.au/
out_of_range		https://arena.gov.au/news/
out_of_range		https://arena.gov.au/what-is-renewable-energy/
out_of_range		https://arena.gov.au/renewable-energy/battery-storage/
out_of_range		https://arena.gov.au/renewable-energy/bioenergy/
out_of_range		https://arena.gov.au/renewable-energy/community-electrification/
out_of_range		https://arena.gov.au/renewable-energy/demand-response/
